par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
39,3,Highly selective public,45100,58500,.6665707844930925,.027802294,.13857016,.25948808,.42277139,.24227715,.13857016,.10017652,.096204765,.089143865,.54721975,48400,52500,2266,393548,.0057578743
39,4,Highly selective private,45100,62500,.6789407652449905,.033189032,.14862914,.27994227,.45887446,.20346321,.14718615,.1038961,.08658009,.083694085,.51370853,51600,56400,693,134098,.0051678624
39,5,Selective public,45100,43600,.5944512133126984,.0078609018,.060355738,.13130371,.27106789,.27673039,.20378388,.14109653,.1073213,.098327897,.52774632,38400,41500,15011,1944082,.0077213822
39,6,Selective private,45100,43900,.5952519222669994,.0091324197,.060972333,.13618051,.29170024,.26054257,.18855761,.13725489,.12194467,.11227505,.55492878,39300,43200,3723,486852,.0076470878
39,7,Nonselective four-year public,45100,32900,.5182656780378933,.0014487505,.025715319,.06555596,.16298443,.25063381,.2488229,.19485694,.14270192,.13038754,.45925391,29800,33900,2761,257854,.010707609
39,8,Nonselective four-year private not-for-profit,45100,33600,.4967249760734122,.0060362173,.026156941,.074446678,.18309858,.20523138,.2193159,.21730383,.1750503,.16498993,.52313882,27200,33900,497,55947,.0088834073
39,9,Two-year (public and private not-for-profit),45100,31900,.5050432692128145,.0022418245,.02363663,.062819824,.15946196,.23660997,.24070373,.2054681,.15775622,.1430869,.44899848,28400,33100,20519,2021451,.010150629
39,10,Four-year for-profit,45000,31300,.5033641531982226,0,.020777481,.068364613,.17359249,.21246649,.24463807,.21179624,.1575067,.1380697,.3585791,27500,32200,1492,126025,.01183892
39,11,Two-year for-profit,45000,34100,.5357645874732082,0,.023904383,.075697213,.20517929,.2370518,.22908367,.20717132,.12151395,.10756972,.40637451,31400,35000,502,42313,.011863966
39,12,Less than two-year schools of any type,45100,21100,.4009826037409526,0,.0087719299,.01754386,.052631579,.19298245,.22807017,.2631579,.2631579,.2368421,.34210527,18300,24600,114,10121,.01126371
39,13,Attending college with insufficient data,45300,31300,.4911579180842224,.0037663053,.02663972,.060995776,.15129523,.21862943,.24058424,.22257946,.16691163,.1501929,.43698329,26400,31400,10886,942344,.011552045
39,14.1,Late attender (ages 23-28),45100,22500,.4140233151839543,.00081400084,.0094288429,.026048025,.075159408,.16151133,.24643874,.30823499,.20865554,.18145435,.34866369,17600,23300,14742,1239448,.011894004
39,14.2,Never attended college (before year 2013),45200,20100,.3708721913507168,.0007182188,.0090076607,.024359588,.068739526,.14295547,.21414891,.24251856,.33163753,.30967203,.31649509,13500,24300,33416,2866578,.011657105
40,1,Ivy Plus,46400,98000,.7386138484727378,.12565444,.31413612,.46073297,.59685862,.14659685,.089005232,.073298424,.094240837,.083769634,.56544501,70500,76200,191,52724,.0036226388
40,2,Other elite schools (public and private),46400,73800,.7129629416838207,.064986736,.25331566,.37002653,.56763929,.14190982,.10344828,.08355438,.10344828,.098143235,.48010612,63200,67800,754,183973,.0040984275
40,3,Highly selective public,46400,60100,.6690847546011907,.029438002,.13648528,.24843889,.41971454,.24130242,.14272971,.1132917,.082961641,.077163249,.55307764,49300,52200,2242,393548,.0056968909
40,4,Highly selective private,46400,62400,.6735653413078907,.035450514,.14475627,.26883307,.44165435,.2422452,.12259971,.097488925,.096011817,.096011817,.56868535,50100,54300,677,134098,.0050485465
40,5,Selective public,46400,43100,.5901561668630332,.0090306653,.058991682,.12610447,.27079001,.27273908,.20068866,.14195687,.11382537,.10226092,.53865641,37900,41300,15392,1944082,.0079173613
40,6,Selective private,46400,46800,.6063974558878882,.012015292,.077280179,.16029492,.30830148,.27580559,.16766794,.12670672,.1215183,.11086838,.56581104,40700,44400,3662,486852,.0075217932
40,7,Nonselective four-year public,46400,32300,.5089244880589573,.0025279885,.027085591,.062838569,.16070783,.24196461,.24774288,.19032142,.15926328,.14156735,.45828819,29200,33700,2769,257854,.010738635
40,8,Nonselective four-year private not-for-profit,46400,31500,.4823666235443919,.0077369437,.034816246,.077369437,.14893617,.22823985,.19148937,.2205029,.21083173,.18181817,.50290138,25100,32900,517,55947,.009240889
40,9,Two-year (public and private not-for-profit),46400,32100,.507875429065843,.0021835098,.023354061,.063748993,.16309869,.23691081,.24417335,.20007595,.1557412,.14074144,.44970807,28700,33300,21067,2021451,.010421722
40,10,Four-year for-profit,46300,32600,.508233330606869,.0035014006,.025210084,.074229695,.17436975,.23039216,.22759104,.20868348,.15896359,.14495799,.36694679,28800,34000,1428,126025,.011331085
40,11,Two-year for-profit,46300,34100,.5326908103179574,.003992016,.021956088,.07185629,.18562874,.2754491,.20558883,.1996008,.13373254,.1237525,.40718564,31700,36200,501,42313,.011840332
40,12,Less than two-year schools of any type,46200,27100,.4497937093182671,0,.020833334,.041666668,.14583333,.16666666,.22916667,.21875,.23958333,.21875,.41666666,22900,31100,96,10121,.0094852289
40,13,Attending college with insufficient data,46500,31600,.4952507798714961,.0040620384,.02538774,.061761446,.1564808,.21353397,.24861522,.22082718,.16054283,.14531019,.44193131,27000,31600,10832,942344,.011494741
